c Вес дерева 2982.0, самое длинное ребро = 113
p edge 128
e 1 60
e 1 41
e 1 110
e 2 82
e 2 25
e 2 6
e 3 92
e 3 41
e 3 62
e 4 55
e 4 49
e 4 126
e 5 103
e 5 47
e 5 6
e 6 103
e 7 123
e 7 13
e 7 54
e 8 46
e 8 29
e 8 31
e 9 39
e 9 44
e 9 37
e 10 73
e 10 48
e 10 121
e 11 45
e 11 122
e 11 108
e 12 58
e 12 33
e 12 96
e 13 115
e 13 64
e 14 69
e 14 105
e 14 109
e 15 45
e 15 109
e 15 40
e 16 35
e 16 116
e 16 56
e 17 97
e 17 115
e 17 123
e 18 88
e 18 65
e 18 105
e 19 21
e 19 79
e 19 22
e 20 63
e 20 28
e 20 106
e 21 52
e 21 77
e 22 85
e 22 54
e 23 47
e 23 25
e 23 103
e 24 60
e 24 84
e 24 110
e 25 70
e 26 87
e 26 106
e 26 100
e 27 123
e 27 30
e 27 115
e 28 53
e 28 106
e 29 102
e 29 51
e 30 54
e 30 85
e 31 102
e 31 46
e 32 128
e 32 69
e 32 36
e 33 93
e 33 96
e 34 118
e 34 120
e 34 47
e 35 116
e 35 77
e 36 91
e 36 128
e 37 68
e 37 77
e 38 107
e 38 86
e 38 76
e 39 112
e 39 44
e 40 105
e 40 109
e 41 92
e 42 45
e 42 52
e 42 74
e 43 94
e 43 49
e 43 71
e 44 73

e 46 51

e 48 76
e 48 114
e 49 94
e 50 111
e 50 119
e 50 104
e 51 57
e 52 74
e 53 104
e 53 63

e 55 94
e 55 85
e 56 67
e 56 68
e 57 81
e 57 59
e 58 96
e 58 93
e 59 90
e 59 91
e 60 70
e 61 84
e 61 70
e 61 82
e 62 92
e 62 87
e 63 104
e 64 89
e 64 101
e 65 74
e 65 88
e 66 88
e 66 78
e 66 117
e 67 116
e 67 112
e 68 72
e 69 124

e 71 79
e 71 126
e 72 73
e 72 125


e 75 91
e 75 93
e 75 102
e 76 78

e 78 117
e 79 113
e 80 97
e 80 100
e 80 113
e 81 86
e 81 124
e 82 118
e 83 107
e 83 95
e 83 114
e 84 110

e 86 107
e 87 100

e 89 99
e 89 101
e 90 108
e 90 124




e 95 114
e 95 117

e 97 127
e 98 111
e 98 119
e 98 125
e 99 101
e 99 127








e 108 128


e 111 119
e 112 120
e 113 122




e 118 120


e 121 125
e 121 122




e 126 127


