c Вес дерева 965.0, самое длинное ребро = 35
p edge 64
e 1 9
e 1 32
e 1 42
e 2 5
e 2 58
e 2 50
e 3 33
e 3 27
e 3 53
e 4 17
e 4 38
e 4 54
e 5 35
e 5 31
e 6 23
e 6 8
e 6 48
e 7 59
e 7 11
e 7 20
e 8 48
e 8 45
e 9 32
e 9 49
e 10 46
e 10 24
e 10 14
e 11 40
e 11 61
e 12 35
e 12 15
e 12 16
e 13 49
e 13 32
e 13 55
e 14 24
e 14 22
e 15 30
e 15 16
e 16 45
e 17 54
e 17 44
e 18 63
e 18 41
e 18 30
e 19 43
e 19 37
e 19 48
e 20 40
e 20 21
e 21 64
e 21 40
e 22 24
e 22 36
e 23 45
e 23 54

e 25 61
e 25 56
e 25 64
e 26 29
e 26 64
e 26 62
e 27 55
e 27 42
e 28 43
e 28 29
e 28 62
e 29 39
e 30 52
e 31 35
e 31 60

e 33 60
e 33 63
e 34 46
e 34 51
e 34 36

e 36 57
e 37 52
e 37 47
e 38 52
e 38 44
e 39 62
e 39 43

e 41 53
e 41 63
e 42 50

e 44 53

e 46 47
e 47 60

e 49 59
e 50 58
e 51 57
e 51 55




e 56 61
e 56 59
e 57 58







